name,address,website,founders_names,founders_linkedin,batch,year,yc_url,per_company_api
Fond,"San Francisco, CA, USA",http://fond.co,Taro Fukuyama; Sunny Tsang 🌞; Founded: 2012 Batch: Winter 2012 Team Size: 51 Status: Acquired Location: San Francisco,https://www.linkedin.com/in/tarof/; https://www.linkedin.com/in/sunnyxtsang/; https://www.linkedin.com/company/fondco/,Winter 2012,2012,https://www.ycombinator.com/companies/fond,https://yc-oss.github.io/api/batches/winter-2012/fond.json
Per Vices,"Toronto, ON, Canada",https://www.pervices.com,,,Winter 2012,2012,https://www.ycombinator.com/companies/per-vices,https://yc-oss.github.io/api/batches/winter-2012/per-vices.json
Loom,"San Francisco, CA, USA",http://loom.com,Jan Senderek; Daniel Wagner; Philipp Wein,https://www.linkedin.com/in/jansenderek; https://www.linkedin.com/in/danieltwagner; https://www.linkedin.com/in/philippwein/,Winter 2012,2012,https://www.ycombinator.com/companies/loom,https://yc-oss.github.io/api/batches/winter-2012/loom.json
Documents.Me,"Santa Clara, CA, USA",http://documents.me,Sai Thumuluru,https://www.linkedin.com/in/saithumuluru/,Winter 2012,2012,https://www.ycombinator.com/companies/documents-me,https://yc-oss.github.io/api/batches/winter-2012/documents-me.json
Ark,"San Francisco, CA, USA",http://ark.com,Yiming Liu,https://www.linkedin.com/in/yimingliu,Winter 2012,2012,https://www.ycombinator.com/companies/ark,https://yc-oss.github.io/api/batches/winter-2012/ark.json
SolidStage,,http://solidstage.com,Tom Brown; Kevin Kelley,https://www.linkedin.com/in/NotTomBrown; https://www.linkedin.com/in/kevin-kelley-a7099015,Winter 2012,2012,https://www.ycombinator.com/companies/solidstage,https://yc-oss.github.io/api/batches/winter-2012/solidstage.json
YourMechanic,"Mountain View, CA, USA",http://yourmechanic.com,Batch: Winter 2012 Team Size: 115 Status: Acquired Location: Mountain View; Art Agrawal; Dongyi Liao,https://www.linkedin.com/company/yourmechanic/; https://www.linkedin.com/in/artagrawal; https://www.linkedin.com/in/dongyi-liao,Winter 2012,2012,https://www.ycombinator.com/companies/yourmechanic,https://yc-oss.github.io/api/batches/winter-2012/yourmechanic.json
Priceonomics,"San Francisco, CA, USA",http://priceonomics.com,Rohin Dhar,https://www.linkedin.com/in/rohindhar/,Winter 2012,2012,https://www.ycombinator.com/companies/priceonomics,https://yc-oss.github.io/api/batches/winter-2012/priceonomics.json
Sendwave,"Boston, MA, USA; Remote",https://www.sendwave.com,Drew Durbin; Lincoln Quirk; Founded: 2014 Batch: Winter 2012 Team Size: 350 Status: Acquired Location: Boston,https://www.linkedin.com/in/drew-durbin-52517614/; https://www.linkedin.com/in/lincolnquirk; https://www.linkedin.com/company/wavemoney,Winter 2012,2012,https://www.ycombinator.com/companies/sendwave,https://yc-oss.github.io/api/batches/winter-2012/sendwave.json
Glider,"Portland, OR, USA",http://glider.io,Brandon Paton; Henry Liu; John Marbach,https://www.linkedin.com/in/bpaton; https://linkedin.com/in/liuhenry/; https://linkedin.com/in/johnmarbach,Winter 2012,2012,https://www.ycombinator.com/companies/glider,https://yc-oss.github.io/api/batches/winter-2012/glider.json
Medmonk,"Milpitas, CA, USA",http://medmonk.com,Abbas Mehdi; Somaira Punjwani,https://www.linkedin.com/in/amehdi; https://www.linkedin.com/in/somaira-punjwani-68b80816,Winter 2012,2012,https://www.ycombinator.com/companies/medmonk,https://yc-oss.github.io/api/batches/winter-2012/medmonk.json
Carsabi,"Mountain View, CA, USA",http://carsabi.com,Christopher Berner,https://www.linkedin.com/in/christopherbernerberkeley/,Winter 2012,2012,https://www.ycombinator.com/companies/carsabi,https://yc-oss.github.io/api/batches/winter-2012/carsabi.json
Socialcam,"San Francisco, CA, USA",http://www.socialcam.com,Guillaume Luccisano; Michael Seibel; Ammon Bartram; Founded: 2012 Batch: Winter 2012 Status: Acquired Location: San Francisco,https://www.linkedin.com/in/guillaumeluccisano/; https://linkedin.com/in/mwseibel; https://www.linkedin.com/in/ammon-bartram-2aaa6712; https://www.linkedin.com/company/socialcam-inc./about/,Winter 2012,2012,https://www.ycombinator.com/companies/socialcam,https://yc-oss.github.io/api/batches/winter-2012/socialcam.json
GiveSpark,"Palo Alto, CA, USA",http://givespark.com/,Joe Teplow,https://www.linkedin.com/in/joeteplow/,Winter 2012,2012,https://www.ycombinator.com/companies/givespark,https://yc-oss.github.io/api/batches/winter-2012/givespark.json
Shopular,"Redwood City, CA, USA",http://shopular.com,Tommy Sze Ngai Tsai,https://www.linkedin.com/in/tommytsai/,Winter 2012,2012,https://www.ycombinator.com/companies/shopular,https://yc-oss.github.io/api/batches/winter-2012/shopular.json
Clutch,"San Francisco, CA, USA",http://clutch.io,,,Summer 2011,2011,https://www.ycombinator.com/companies/clutch,https://yc-oss.github.io/api/batches/summer-2011/clutch.json
